info_I,visibility_V,x,intensity,landauer_energy_j
0.200000,0.979796,0.200000,0.65138679,5.741957770157e-22
0.200000,0.979796,0.225000,0.57663692,5.741957770157e-22
0.200000,0.979796,0.250000,0.50000000,5.741957770157e-22
0.200000,0.979796,0.275000,0.42336308,5.741957770157e-22
0.200000,0.979796,0.300000,0.34861321,5.741957770157e-22
0.200000,0.979796,0.325000,0.27759099,5.741957770157e-22
0.200000,0.979796,0.350000,0.21204521,5.741957770157e-22
0.200000,0.979796,0.375000,0.15358984,5.741957770157e-22
0.200000,0.979796,0.400000,0.10366423,5.741957770157e-22
0.200000,0.979796,0.425000,0.06349773,5.741957770157e-22
0.200000,0.979796,0.450000,0.03407936,5.741957770157e-22
0.200000,0.979796,0.475000,0.01613351,5.741957770157e-22
0.200000,0.979796,0.500000,0.01010205,5.741957770157e-22
0.200000,0.979796,0.525000,0.01613351,5.741957770157e-22
0.200000,0.979796,0.550000,0.03407936,5.741957770157e-22
0.200000,0.979796,0.575000,0.06349773,5.741957770157e-22
0.200000,0.979796,0.600000,0.10366423,5.741957770157e-22
0.200000,0.979796,0.625000,0.15358984,5.741957770157e-22
0.200000,0.979796,0.650000,0.21204521,5.741957770157e-22
0.200000,0.979796,0.675000,0.27759099,5.741957770157e-22
0.200000,0.979796,0.700000,0.34861321,5.741957770157e-22
0.200000,0.979796,0.725000,0.42336308,5.741957770157e-22
0.200000,0.979796,0.750000,0.50000000,5.741957770157e-22
0.200000,0.979796,0.775000,0.57663692,5.741957770157e-22
0.200000,0.979796,0.800000,0.65138679,5.741957770157e-22
0.200000,0.979796,0.825000,0.72240901,5.741957770157e-22
0.200000,0.979796,0.850000,0.78795479,5.741957770157e-22
0.200000,0.979796,0.875000,0.84641016,5.741957770157e-22
0.200000,0.979796,0.900000,0.89633577,5.741957770157e-22
0.200000,0.979796,0.925000,0.93650227,5.741957770157e-22
0.200000,0.979796,0.950000,0.96592064,5.741957770157e-22
0.200000,0.979796,0.975000,0.98386649,5.741957770157e-22
0.200000,0.979796,1.000000,0.98989795,5.741957770157e-22
