x,y,rho
-22.75,-11.75,1.7104235700027e-22
-22.75,-11.25,3.2721963232791e-22
-22.75,-10.75,6.77946201373e-22
-22.75,-10.25,1.5062914717421e-21
-22.75,-9.75,3.3180258337277e-21
-22.75,-9.25,8.0258255372404e-21
-22.75,-8.75,2.2996238811369e-20
-22.75,-8.25,3.6295884665095e-20
-22.75,-7.75,4.392021118659e-20
-22.75,-7.25,7.4076451023584e-19
-22.75,-6.75,3.6393428831488e-18
-22.75,-6.25,7.6692940866356e-18
-22.75,-5.75,4.0871135821478e-17
-22.75,-5.25,3.2105098246205e-16
-22.75,-4.75,1.4372532333952e-15
-22.75,-4.25,4.7205406923541e-15
-22.75,-3.75,1.3628451193141e-14
-22.75,-3.25,3.6965267936987e-14
-22.75,-2.75,8.9819413645765e-14
-22.75,-2.25,1.8319540622209e-13
-22.75,-1.75,3.2414635503001e-13
-22.75,-1.25,4.2480011610949e-13
-22.75,-0.75,4.0196692921677e-13
-22.75,-0.25,6.8602011321325e-13
-22.75,0.25,6.8602011320383e-13
-22.75,0.75,4.0196692923191e-13
-22.75,1.25,4.2480011613728e-13
-22.75,1.75,3.2414635502783e-13
-22.75,2.25,1.8319540622728e-13
-22.75,2.75,8.9819413652738e-14
-22.75,3.25,3.6965267942914e-14
-22.75,3.75,1.3628451196784e-14
-22.75,4.25,4.7205406936731e-15
-22.75,4.75,1.4372532349122e-15
-22.75,5.25,3.2105098286521e-16
-22.75,5.75,4.0871135911456e-17
-22.75,6.25,7.669294118082e-18
-22.75,6.75,3.6393428773448e-18
-22.75,7.25,7.4076450807817e-19
-22.75,7.75,4.3920208886488e-20
-22.75,8.25,3.6295886324616e-20
-22.75,8.75,2.2996237830076e-20
-22.75,9.25,8.0258265156229e-21
-22.75,9.75,3.3180259959773e-21
-22.75,10.25,1.5062917797801e-21
-22.75,10.75,6.7794634168679e-22
-22.75,11.25,3.272196359956e-22
-22.75,11.75,1.7104233821711e-22
-22.75,12.25,9.6287231372435e-23
-22.75,12.75,5.3149795312686e-23
-22.75,13.25,3.0828713656998e-23
-22.75,13.75,1.8797268116719e-23
-22.75,14.25,1.2131386569078e-23
-22.75,14.75,8.2444401040965e-24
-22.75,15.25,5.8855637046894e-24
-22.75,15.75,4.357654336657e-24
-22.75,16.25,3.3049813377084e-24
-22.75,16.75,2.5422630644504e-24
-22.75,17.25,1.9659130336026e-24
-22.75,17.75,1.5180159277142e-24
-22.75,18.25,1.1649461782366e-24
-22.75,18.75,8.8517238222075e-25
-22.75,19.25,6.6347478239641e-25
-22.75,19.75,4.8848376426431e-25
-22.75,20.25,3.512497639118e-25
-22.75,20.75,2.4471191966663e-25
-22.75,21.25,1.6319899804036e-25
-22.75,21.75,1.0215608907091e-25
-22.75,22.25,5.7998861376124e-26
-22.75,22.75,2.7840931569293e-26
-22.75,23.25,9.43378005503e-27
-22.75,23.75,9.8032555050176e-28
-22.25,-23.75,9.6629262223554e-28
-22.25,-23.25,9.323455917295e-27
-22.25,-22.75,2.754656182483e-26
-22.25,-22.25,5.7386085679612e-26
-22.25,-21.75,1.0103844789294e-25
-22.25,-21.25,1.6127485354333e-25
-22.25,-20.75,2.4155760587706e-25
-22.25,-20.25,3.462286913706e-25
-22.25,-19.75,4.8062886184142e-25
-22.25,-19.25,6.514986057348e-25
-22.25,-18.75,8.6715221711074e-25
-22.25,-18.25,1.1385064851709e-24
