x,rho
-15.06835938,2.8898624800266e-15
-15.04882812,3.3065220060828e-15
-15.02929688,3.7821944354943e-15
-15.00976562,4.3250831693181e-15
-14.99023438,4.9445099918984e-15
-14.97070312,5.6510642317246e-15
-14.95117188,6.456771400759e-15
-14.93164062,7.37528418026e-15
-14.91210938,8.4220979958791e-15
-14.89257812,9.6147943624934e-15
-14.87304688,1.0973316384584e-14
-14.85351562,1.2520278435725e-14
-14.83398438,1.4281316809274e-14
-14.81445312,1.6285485323073e-14
-14.79492188,1.8565700583928e-14
-14.77539062,2.1159244690094e-14
-14.75585938,2.4108332123077e-14
-14.73632812,2.7460747272418e-14
-14.71679688,3.1270564425152e-14
-14.69726562,3.559895735978e-14
-14.67773438,4.0515108825866e-14
-14.65820312,4.6097241193617e-14
-14.63867188,5.2433765017416e-14
-14.61914062,5.9624580090378e-14
-14.59960938,6.7782534202277e-14
-14.58007812,7.7035065859062e-14
-14.56054688,8.752604454386e-14
-14.54101562,9.9417840756881e-14
-14.52148438,1.1289365434291e-13
-14.50195312,1.2816012552384e-13
-14.48242188,1.4545025901833e-13
-14.46289062,1.650267155402e-13
-14.44335938,1.8718549832985e-13
-14.42382812,2.1226008056097e-13
-14.40429688,2.406260469202e-13
-14.38476562,2.7270627366681e-13
-14.36523438,3.0897675363396e-13
-14.34570312,3.4997310228796e-13
-14.32617188,3.9629784502675e-13
-14.30664062,4.4862858440463e-13
-14.28710938,5.0772710807749e-13
-14.26757812,5.7444962134894e-13
-14.24804688,6.4975813773038e-13
-14.22851562,7.3473324489069e-13
-14.20898438,8.3058835224723e-13
-14.18945312,9.386856267306e-13
-14.16992188,1.060553742976e-12
-14.15039062,1.1979077630373e-12
-14.13085938,1.352671252883e-12
-14.11132812,1.5270010122512e-12
-14.09179688,1.7233146273097e-12
-14.07226562,1.9443211797632e-12
-14.05273438,2.1930555023149e-12
-14.03320312,2.4729163336662e-12
-14.01367188,2.7877087990159e-12
-13.99414062,3.1416917636249e-12
-13.97460938,3.5396304615964e-12
-13.95507812,3.9868551651203e-12
-13.93554688,4.4893263480563e-12
-13.91601562,5.0537072290628e-12
-13.89648438,5.6874444058445e-12
-13.87695312,6.3988574245781e-12
-13.85742188,7.1972383669341e-12
-13.83789062,8.0929624096722e-12
-13.81835938,9.0976105934937e-12
-13.79882812,1.0224106098247e-11
-13.77929688,1.1486865478208e-11
-13.75976562,1.2901966397859e-11
-13.74023438,1.4487333625431e-11
-13.72070312,1.6262945255533e-11
