sin_theta,intensity_norm
-0.01484,0.7343102411069
-0.01483,0.73365525440464
-0.01482,0.73294208142653
-0.01481,0.73217081191773
-0.0148,0.7313415449682
-0.01479,0.73045438900455
-0.01478,0.72950946178021
-0.01477,0.7285068903642
-0.01476,0.72744681112836
-0.01475,0.72632936973307
-0.01474,0.72515472111147
-0.01473,0.72392302945218
-0.01472,0.72263446818046
-0.01471,0.72128921993799
-0.0147,0.71988747656101
-0.01469,0.71842943905707
-0.01468,0.71691531758021
-0.01467,0.71534533140472
-0.01466,0.71371970889733
-0.01465,0.71203868748798
-0.01464,0.7103025136391
-0.01463,0.70851144281335
-0.01462,0.70666573943996
-0.01461,0.70476567687957
-0.0146,0.7028115373876
-0.01459,0.70080361207616
-0.01458,0.69874220087453
-0.01457,0.69662761248813
-0.01456,0.69446016435611
-0.01455,0.69224018260745
-0.01454,0.68996800201569
-0.01453,0.68764396595215
-0.01452,0.68526842633777
-0.01451,0.68284174359357
-0.0145,0.68036428658965
-0.01449,0.67783643259279
-0.01448,0.67525856721271
-0.01447,0.67263108434687
-0.01446,0.66995438612399
-0.01445,0.66722888284608
-0.01444,0.66445499292919
-0.01443,0.66163314284283
-0.01442,0.65876376704794
-0.01441,0.65584730793364
-0.0144,0.65288421575257
-0.01439,0.64987494855499
-0.01438,0.64681997212147
-0.01437,0.64371975989439
-0.01436,0.64057479290809
-0.01435,0.63738555971776
-0.01434,0.63415255632708
-0.01433,0.63087628611454
-0.01432,0.62755725975863
-0.01431,0.62419599516167
-0.0143,0.62079301737251
-0.01429,0.61734885850798
-0.01428,0.61386405767316
-0.01427,0.61033916088041
-0.01426,0.60677472096732
-0.01425,0.6031712975134
-0.01424,0.5995294567557
-0.01423,0.59584977150323
-0.01422,0.59213282105029
-0.01421,0.58837919108868
-0.0142,0.58458947361882
-0.01419,0.58076426685979
-0.01418,0.57690417515826
-0.01417,0.57300980889641
-0.01416,0.56908178439878
-0.01415,0.56512072383812
-0.01414,0.5611272551402
-0.01413,0.55710201188761
-0.01412,0.55304563322262
-0.01411,0.54895876374901
-0.0141,0.54484205343303
-0.01409,0.5406961575033
-0.01408,0.53652173634994
-0.01407,0.53231945542263
-0.01406,0.52808998512789
-0.01405,0.52383400072547
-0.01404,0.51955218222382
-0.01403,0.51524521427476
-0.01402,0.51091378606733
-0.01401,0.50655859122082
-0.014,0.50218032767696
-0.01399,0.49777969759144
-0.01398,0.49335740722452
-0.01397,0.48891416683104
-0.01396,0.48445069054961
-0.01395,0.47996769629112
-0.01394,0.47546590562658
-0.01393,0.47094604367423
-0.01392,0.46640883898605
-0.01391,0.46185502343363
-0.0139,0.45728533209334
-0.01389,0.452700503131
-0.01388,0.4481012776859
-0.01387,0.44348839975431
-0.01386,0.43886261607233
-0.01385,0.43422467599839
-0.01384,0.42957533139502
-0.01383,0.42491533651034
-0.01382,0.42024544785895
-0.01381,0.41556642410236
-0.0138,0.41087902592907
-0.01379,0.40618401593414
-0.01378,0.40148215849846
-0.01377,0.39677421966751
-0.01376,0.39206096702994
-0.01375,0.3873431695956
-0.01374,0.38262159767346
-0.01373,0.37789702274903
-0.01372,0.3731702173617
-0.01371,0.36844195498164
-0.0137,0.36371300988655
-0.01369,0.3589841570382
-0.01368,0.3542561719587
-0.01367,0.34952983060668
-0.01366,0.34480590925318
-0.01365,0.34008518435755
-0.01364,0.33536843244309
-0.01363,0.33065642997269
-0.01362,0.3259499532243
-0.01361,0.32124977816642
-0.0136,0.31655668033348
-0.01359,0.31187143470126
-0.01358,0.30719481556221
-0.01357,0.30252759640092
-0.01356,0.29787054976953
-0.01355,0.2932244471632
-0.01354,0.28859005889572
-0.01353,0.28396815397519
-0.01352,0.27935949997976
-0.01351,0.2747648629336
-0.0135,0.27018500718298
-0.01349,0.26562069527253
-0.01348,0.26107268782171
-0.01347,0.25654174340149
-0.01346,0.25202861841128
-0.01345,0.24753406695609
-0.01344,0.24305884072402
-0.01343,0.238603688864
-0.01342,0.23416935786388
-0.01341,0.22975659142884
-0.0134,0.22536613036016
-0.01339,0.2209987124344
-0.01338,0.21665507228291
-0.01337,0.21233594127186
-0.01336,0.20804204738258
-0.01335,0.2037741150925
