x,rho
-10.356,2.05389029293e-24
-10.344,2.32550146267e-24
-10.332,2.63265198816e-24
-10.32,2.97994158702e-24
-10.308,3.37255864678e-24
-10.296,3.81635469486e-24
-10.284,4.3179281774e-24
-10.272,4.88471869638e-24
-10.26,5.5251129943e-24
-10.248,6.24856413311e-24
-10.236,7.06572548922e-24
-10.224,7.98860138403e-24
-10.212,9.03071638936e-24
-10.2,1.02073055943e-23
-10.188,1.15355283962e-23
-10.176,1.30347086875e-23
-10.164,1.47266046576e-23
-10.152,1.66357118133e-23
-10.14,1.87896032576e-23
-10.128,2.12193117504e-23
-10.116,2.39597586139e-23
-10.104,2.70502351564e-23
-10.092,3.053494296e-23
-10.08,3.44636001399e-23
-10.068,3.88921215262e-23
-10.056,4.38833816655e-23
-10.044,4.95080705972e-23
-10.032,5.58456535389e-23
-10.02,6.29854469336e-23
-10.008,7.10278247852e-23
-9.996,8.00855708505e-23
-9.984,9.02853940935e-23
-9.972,1.01769626856e-22
-9.96,1.14698127482e-22
-9.948,1.29250411696e-22
-9.936,1.45628039856e-22
-9.924,1.6405729042e-22
-9.912,1.84792153456e-22
-9.9,2.0811768202e-22
-9.888,2.34353743603e-22
-9.876,2.63859218764e-22
-9.864,2.97036699543e-22
-9.852,3.34337746348e-22
-9.84,3.76268768792e-22
-9.828,4.23397603542e-22
-9.816,4.76360870669e-22
-9.804,5.35872199382e-22
-9.792,6.0273142449e-22
-9.78,6.77834866576e-22
-9.768,7.62186821838e-22
-9.756,8.56912401984e-22
-9.744,9.63271880613e-22
-9.732,1.0826767204e-21
-9.72,1.21670747526e-21
-9.708,1.3671337838e-21
-9.696,1.53593669498e-21
-9.684,1.7253335941e-21
-9.672,1.93780602793e-21
-9.66,2.17613076124e-21
-9.648,2.44341443487e-21
-9.636,2.74313223695e-21
-9.624,3.07917104544e-21
-9.612,3.45587755169e-21
-9.6,3.87811193175e-21
-9.588,4.3513076959e-21
-9.576,4.88153841749e-21
-9.564,5.47559212024e-21
