x,rho
-16.66992188,1.1892943952828e-25
-16.65039062,1.4244592184367e-25
-16.63085938,1.7209569422657e-25
-16.61132812,2.0590674365866e-25
-16.59179688,2.4818445431944e-25
-16.57226562,2.9862543176846e-25
-16.55273438,3.6032767679195e-25
-16.53320312,4.3165355161e-25
-16.51367188,5.181273713343e-25
-16.49414062,6.2343667517374e-25
-16.47460938,7.4938092081622e-25
-16.45507812,8.9807859017827e-25
-16.43554688,1.0775353400785e-24
-16.41601562,1.2913180024037e-24
-16.39648438,1.5464510213917e-24
-16.37695312,1.8586551271884e-24
-16.35742188,2.2255750407462e-24
-16.33789062,2.6669656377096e-24
-16.31835938,3.1937759817684e-24
-16.29882812,3.8222753401277e-24
-16.27929688,4.5764132438212e-24
-16.25976562,5.4740748845147e-24
-16.24023438,6.5500309695018e-24
-16.22070312,7.8228863666054e-24
-16.20117188,9.3536615753042e-24
-16.18164062,1.1182096088326e-23
-16.16210938,1.3354291877307e-23
-16.14257812,1.5946055315005e-23
-16.12304688,1.9041313000873e-23
-16.10351562,2.2723426397546e-23
-16.08398438,2.7113214936354e-23
-16.06445312,3.233498963205e-23
-16.04492188,3.8551349838843e-23
-16.02539062,4.5965192488803e-23
-16.00585938,5.4756769639283e-23
-15.98632812,6.5229514279907e-23
-15.96679688,7.7671776000272e-23
-15.94726562,9.2462833547228e-23
-15.92773438,1.1004765472762e-22
-15.90820312,1.3094090578309e-22
-15.88867188,1.5572063411159e-22
-15.86914062,1.8516358477779e-22
-15.84960938,2.2008981418628e-22
-15.83007812,2.6152901588183e-22
-15.81054688,3.1065526461127e-22
-15.79101562,3.6892596905495e-22
-15.77148438,4.3799981074723e-22
-15.75195312,5.1983489422771e-22
-15.73242188,6.167366973964e-22
-15.71289062,7.3152603922523e-22
-15.69335938,8.6738271309474e-22
-15.67382812,1.0282387696066e-21
-15.65429688,1.2183109969661e-21
-15.63476562,1.4433749865456e-21
-15.61523438,1.7094137716597e-21
-15.59570312,2.0238256257678e-21
-15.57617188,2.3951117252258e-21
-15.55664062,2.8340206462746e-21
-15.53710938,3.3521392480338e-21
-15.51757812,3.9639977805739e-21
-15.49804688,4.6857772249701e-21
-15.47851562,5.5374200197147e-21
-15.45898438,6.5419914112433e-21
-15.43945312,7.7261432000701e-21
-15.41992188,9.1221552006236e-21
-15.40039062,1.0767235931816e-20
-15.38085938,1.2704482831159e-20
-15.36132812,1.4986538658857e-20
-15.34179688,1.7672500710559e-20
-15.32226562,2.0833621590475e-20
-15.30273438,2.4552814150443e-20
-15.28320312,2.8926960747016e-20
-15.26367188,3.407025779449e-20
-15.24414062,4.0115294534567e-20
-15.22460938,4.7218872192793e-20
-15.20507812,5.5563702486127e-20
-15.18554688,6.536290463053e-20
-15.16601562,7.6866935020721e-20
-15.14648438,9.0368060156693e-20
-15.12695312,1.0620781629504e-19
-15.10742188,1.2478673588472e-19
-15.08789062,1.4656992522878e-19
-15.06835938,1.7210375412154e-19
-15.04882812,2.0202550430287e-19
-15.02929688,2.3707470982192e-19
-15.00976562,2.781206831925e-19
-14.99023438,3.2617267030373e-19
-14.97070312,3.8241179840865e-19
-14.95117188,4.482101024769e-19
-14.93164062,5.2516998581604e-19
-14.91210938,6.1515560660348e-19
-14.89257812,7.2034119342792e-19
-14.87304688,8.4325511017992e-19
-14.85351562,9.8683884303917e-19
-14.83398438,1.1545218780331e-18
-14.81445312,1.3502807535521e-18
-14.79492188,1.5787551599947e-18
-14.77539062,1.8453220515887e-18
-14.75585938,2.1562416115477e-18
-14.73632812,2.5187794963104e-18
-14.71679688,2.9413741816151e-18
-14.69726562,3.4338259891032e-18
-14.67773438,4.007494380234e-18
-14.65820312,4.6755783890711e-18
-14.63867188,5.4533817963548e-18
-14.61914062,6.3586219111189e-18
-14.59960938,7.411872667523e-18
-14.58007812,8.636951613638e-18
-14.56054688,1.0061442835061e-17
-14.54101562,1.1717307730805e-17
-14.52148438,1.3641511244708e-17
-14.50195312,1.5876872003045e-17
-14.48242188,1.8472880071731e-17
-14.46289062,2.148679554404e-17
-14.44335938,2.4984829424601e-17
-14.42382812,2.9043475793835e-17
-14.40429688,3.375112637209e-17
-14.38476562,3.920986092097e-17
-14.36523438,4.5537556639103e-17
-14.34570312,5.287029860987e-17
-14.32617188,6.13650639396e-17
-14.30664062,7.1202976312998e-17
-14.28710938,8.2592865626615e-17
-14.26757812,9.5775494136938e-17
-14.24804688,1.1102830125341e-16
-14.22851562,1.286709660544e-16
-14.20898438,1.4907152882502e-16
-14.18945312,1.7265392667284e-16
-14.16992188,1.9990589627583e-16
-14.15039062,2.3138876449944e-16
-14.13085938,2.6774807173157e-16
-14.11132812,3.097261223955e-16
