x,y,rho
-20.75,-9.25,4.0521272608249e-25
-20.75,-8.75,1.4628645366957e-23
-20.75,-8.25,2.701554979491e-22
-20.75,-7.75,4.5801908761319e-21
-20.75,-7.25,6.5053438392555e-20
-20.75,-6.75,7.6559662663418e-19
-20.75,-6.25,7.6107259959422e-18
-20.75,-5.75,6.323157706755e-17
-20.75,-5.25,4.4037561146126e-16
-20.75,-4.75,2.5732147611222e-15
-20.75,-4.25,1.2594869131769e-14
-20.75,-3.75,5.1675459008699e-14
-20.75,-3.25,1.7776091467823e-13
-20.75,-2.75,5.1250822682075e-13
-20.75,-2.25,1.2385234487736e-12
-20.75,-1.75,2.5088725044022e-12
-20.75,-1.25,4.2599905792541e-12
-20.75,-0.75,6.0630445124455e-12
-20.75,-0.25,7.2333421556315e-12
-20.75,0.25,7.2333421553369e-12
-20.75,0.75,6.0630445121895e-12
-20.75,1.25,4.2599905782582e-12
-20.75,1.75,2.5088725045617e-12
-20.75,2.25,1.2385234490769e-12
-20.75,2.75,5.125082270154e-13
-20.75,3.25,1.7776091470926e-13
-20.75,3.75,5.1675459003283e-14
-20.75,4.25,1.2594869174982e-14
-20.75,4.75,2.5732147695482e-15
-20.75,5.25,4.4037561172977e-16
-20.75,5.75,6.3231577251958e-17
-20.75,6.25,7.6107252684036e-18
-20.75,6.75,7.6559641630439e-19
-20.75,7.25,6.5053384986775e-20
-20.75,7.75,4.5801907140897e-21
-20.75,8.25,2.7015685554187e-22
-20.75,8.75,1.4628882672917e-23
-20.75,9.25,4.0539329544833e-25
-20.75,9.75,4.4015489609441e-26
-20.75,10.25,5.628806891872e-27
-20.75,10.75,2.8208204117077e-27
-20.75,11.25,2.1305514875785e-27
-20.75,11.75,1.4081459846422e-27
-20.75,12.25,9.9420293897658e-28
-20.75,12.75,7.0842925346042e-28
-20.75,13.25,5.1664220470007e-28
-20.75,13.75,3.8558379879957e-28
-20.75,14.25,2.9001823179709e-28
-20.75,14.75,2.2344389155986e-28
-20.75,15.25,1.6571733507186e-28
-20.75,15.75,1.2687631216936e-28
-20.75,16.25,9.9497457560279e-29
-20.75,16.75,7.5541712670807e-29
-20.75,17.25,6.0475585500385e-29
-20.75,17.75,4.4382421075529e-29
-20.75,18.25,3.6055499548525e-29
-20.75,18.75,2.6615958666594e-29
-20.75,19.25,2.0789020244494e-29
-20.75,19.75,1.5828850102761e-29
-20.75,20.25,1.0960623057019e-29
-20.75,20.75,8.6574506754806e-30
-20.75,21.25,5.2579110494638e-30
-20.75,21.75,4.00843756631e-30
-20.75,22.25,1.9433426067004e-30
-20.75,22.75,1.1604578310384e-30
-20.75,23.25,4.3686401751046e-31
-20.75,23.75,4.9405006415964e-32
-20.25,-23.75,1.264087042857e-31
-20.25,-23.25,1.2724858420352e-31
-20.25,-22.75,1.0199045328164e-30
-20.25,-22.25,1.4621076802573e-30
-20.25,-21.75,2.5342321165646e-30
-20.25,-21.25,4.2847495307423e-30
-20.25,-20.75,5.1770426671001e-30
-20.25,-20.25,9.2528164058787e-30
-20.25,-19.75,1.0673468875416e-29
-20.25,-19.25,1.5169881308166e-29
-20.25,-18.75,1.8443568790611e-29
-20.25,-18.25,2.6434804266144e-29
-20.25,-17.75,3.2367550341984e-29
