x,V,rho
-26.47558594,0,1.6226638917338e-13
-26.46191406,0,1.7319016606401e-13
-26.44824219,0,1.8454621382135e-13
-26.43457031,0,1.9706315865256e-13
-26.42089844,0,2.1008036489377e-13
-26.40722656,0,2.2393994014032e-13
-26.39355469,0,2.3894638070663e-13
-26.37988281,0,2.5482895775877e-13
-26.36621094,0,2.7168597242332e-13
-26.35253906,0,2.897089564382e-13
-26.33886719,0,3.0885363814593e-13
-26.32519531,0,3.2948547097029e-13
-26.31152344,0,3.5096494229603e-13
-26.29785156,0,3.7408551470175e-13
-26.28417969,0,3.9875353228289e-13
-26.27050781,0,4.2482670036706e-13
-26.25683594,0,4.5308147937861e-13
-26.24316406,0,4.8259732914864e-13
-26.22949219,0,5.1438538979432e-13
-26.21582031,0,5.4788492178652e-13
-26.20214844,0,5.8380223090046e-13
-26.18847656,0,6.2192579395025e-13
-26.17480469,0,6.6236007253398e-13
-26.16113281,0,7.0543156398852e-13
-26.14746094,0,7.5154299896646e-13
-26.13378906,0,8.0023650851621e-13
-26.12011719,0,8.5201259947021e-13
-26.10644531,0,9.0755856607805e-13
-26.09277344,0,9.6627453266058e-13
-26.07910156,0,1.0286656807678e-12
-26.06542969,0,1.0951890061224e-12
-26.05175781,0,1.1655158211997e-12
-26.03808594,0,1.2403755334965e-12
-26.02441406,0,1.320808028835e-12
-26.01074219,0,1.4051797866252e-12
-25.99707031,0,1.4956492392292e-12
-25.98339844,0,1.5914760501945e-12
-25.96972656,0,1.6934766193662e-12
-25.95605469,0,1.8017742292042e-12
-25.94238281,0,1.9166399324876e-12
-25.92871094,0,2.0384194442491e-12
-25.91503906,0,2.1688015564348e-12
-25.90136719,0,2.3066540641348e-12
-25.88769531,0,2.4530488121014e-12
-25.87402344,0,2.6091085834558e-12
-25.86035156,0,2.7742467424276e-12
-25.84667969,0,2.949855538909e-12
-25.83300781,0,3.1364139362625e-12
-25.81933594,0,3.3344277246192e-12
-25.80566406,0,3.5447734546876e-12
-25.79199219,0,3.7676977382004e-12
-25.77832031,0,4.0041345604921e-12
-25.76464844,0,4.2566800167824e-12
-25.75097656,0,4.5236775838758e-12
-25.73730469,0,4.8068750923145e-12
